,rating,title,comment,date,country
0,5.0,This is a good calculator through high school and beyond.,"As a chemist I use a programmable graphing calculator.  However I also tutor high school and college students and have used TI 30 series calculators for that purpose for decades.  This calculator is more than adequate for junior high school, high school and most college courses.  In addition it is a bargin.  Most standardized tests and teachers who allow calculators for tests allow the TI 30 series.  It handles calculations found in all high school courses.  It comes with a rudimentary instruction sheet and a quick reference card.  TI used to package a comprehensive paperback book with this series.  That manual is still available online in pdf format as a free download.The package includes the calculator.  It has an internal battery that can be replaced with some difficulty.  Routinely the calculator relies on a solar cell which operates the device and charges the battery.  Classroom light is sufficient to power the solar cell.  There is a hard case that slides on to protect the face of the calculator.  When not in use the cover can slide on the back for storage.  There is a slot in the case to hold the quick reference card.  There is also a basic information sheet in the package.For those who worry about such things this is built in the Philippines.  The TI 30 series has been one of the most popular entry level scientific calculators since the 1970s.","October 7, 2019",the United States
1,5.0,"Finally, a color that matches my coffee-loving soul","Do you ever have problems with people recognizing that you're female?  Do people ever have the gall say that you're a ""reasonable"" and ""practical""  person?  Finally, are you tired of people mooching off you by asking to use your calculator?  If this has happened to you or someone you love, buy this calculator in this obnoxious pink color immediately!No one will be able to mistake you for anything but the pink-loving, somewhat basic girl that you are, and best of all, many, due to their masculinity complexes, will not want to use your calculator merely because of the bright color!But in all seriousness, I bought this because someone stole my factory-color blue version.  I bought this to be a little more distinctive so that maybe it won't happen again.As for the product, package came fast, all buttons work sharply -- good feedback when pressed.  I personally love this calculator -- I can't stand a casio.  TI all the way.  I can actually see what I'm taking the logarithm of instead of getting an error once I hit the log button.  I would buy this a thousand times over (if I weren't already broke of course)Enjoy!","September 25, 2017",the United States
2,3.0,NOT recommended for test taking!,This is a fine calculator. It works great. Has more functions than I'll probably ever use. Then why do I not recommend it?There is a design flaw.I have attached 3 photos where you see the screen. You'll notice that when you turn the calculator on and look at it from an angle (as you would if you kept it on a desk while you were testing) the numbers are not legible. Your line of sight has to be almost perpendicular or direct to see it clearly. This does not affect the function of the calculator but it gets inconvenient when you have to hover over the calculator or lift it up to read it. In a test taking setting this constant movement was suspicious enough to warrant a warning from the proctor.,"September 14, 2017",the United States
3,5.0,"All-round Workhorse for Algebra, Trigonometry and Chemistry","Excellent calculator, I use it for university level algebra, trig and chemistry and it has so far held up to the constant workout and being carried around in my book bag and occasionally dropped. This is the version of calculator that my university's Math Department allows for test taking. ""higher"" level calculators that graph are not allowed.","July 13, 2018",the United States
4,5.0,Great Value,"I recently purchased this calculator to have at home. I’ve been teaching middle school math for a couple decades and this is the calculator we’ve used. It is reliable, can withstand repeated falls on tile floors, and daily use by ms aged students. It has more capability than most of us will ever use, but may lack some features needed for higher level college/specialized math. The two line helps to verify inputs.  The slide off case is handy far transport and storage. It has a few quirks. The display is large enough but unreadable as the viewing angle increases. It provides “syntax error” when using a negative number in the denominator with the Ab/c function and a few other situations. I went through school before calculators so these aren’t problematic for me, but might be for today’s students.  The reliability, durability, longevity, and capability at this price makes this a great value. I like it.","October 24, 2020",the United States
5,5.0,"Good scientific calculator for high school, SAT, ACT","This calculator is a good one for use in a high school science class.  I recommend it for my chemistry and physics students because it covers all of the functions we use, and it is inexpensive.  I had to get used to the syntax for operations, because it seems backwards from my older calculators.  You must type in equations as they read on paper.  For example, if you want to do the equation 1.7 X sin55, you would literally type everything in in exactly that order.  On some of my other scientific calculators I would have to type in the 55 and then hit the sine button.  I'm not sure if one way or the other is better, but with a little practice this is a very good calculator.","November 13, 2019",the United States
6,5.0,Great calculator with all you need.,"from high school.  I've only had it for a few weeks, but I'm already impressed with how easy it is to work with.  I'm particularly impressed with it's statistical capabilities--I would have thought you would need a more of a heavy duty graphing calculator to do some of the things I've been able to do with this little guy.","May 5, 2016",the United States
7,5.0,Great for middle school!,"An absolute classic of a calculator. I used maybe this exact same model over a decade ago in school, and just purchased this one for my niece in 6th grade. It has a nice big display that makes it easy to see and every function that she will need for the next few years. It is also approved for any state testing. I don't know if the graphic calculators are allowed yet, but they weren't when I was in school.","September 22, 2016",the United States
8,5.0,Ok,"I learned to use Casio, so when my professor told me I have to use this one I was in pain. It’s ugly to look at and type numbers. It hurts… or maybe that is my hatred for anything algebra.I mean to write, it is just a calculator. It works is all I can say. Still Casio is better, easier, and not an ugly barf blue. Looks like what barfed blueberry’s would look like. If that is a concern then choose a different color. Casio in my opinion is easier to learn. But that is bc that is the one I learned first. But I do know for a fact Casio is better organized.","April 9, 2022",the United States
9,5.0,Cheap and gets the job done,"I used this calculator for the third and final exams of a trigonometry class, and it worked very well.  The math coordinator only allows devices that will allow checking answers (but don't give an exact answer).  I really don't have any dislikes, but I do like its sturdiness - this thing will take a beating.  I'm not very good at math and I start getting easily frustrated after I've been working on it for too long.  One of those occasions found me trying to destroy the calculator by  slamming it on a hard floor and then stomping it.  To my surprise it kept working...no cracked/garbled display, and all of the keys remained functional.  This is a simple, low-cost calculator that does what it's supposed to do and can take a good beating.","December 3, 2019",the United States
